id,name,country,continent,tags,avg_cost_usd,avg_rating,climate,accessibility,best_season,description,latitude,longitude,xid
1,Bali,Indonesia,Asia,beach tropical culture wellness,1200,4.7,tropical,True,April-October,A magical island paradise blending lush rice terraces with vibrant Hindu culture and world-class surf breaks.,-8.4095,115.1889,W213011
2,Patagonia,Argentina,South America,adventure trekking nature wilderness,2800,4.9,cold,False,November-March,"One of the world's last great wildernesses — glaciers, jagged peaks, and endless wind-swept steppes.",-51.623,-69.2168,W222423
3,Santorini,Greece,Europe,romance luxury beach island,3200,4.8,mediterranean,True,May-October,Iconic blue-domed churches and cliffside white buildings cascading above the volcanic caldera.,36.3932,25.4615,W168177
4,Kyoto,Japan,Asia,culture history temples zen,1800,4.8,temperate,True,March-May,"Japan's cultural heart — home to over 1000 Buddhist temples, lush bamboo forests, and the timeless tea ceremony.",35.0116,135.7681,W208648
5,Machu Picchu,Peru,South America,history adventure trekking ancient,1600,4.9,highland,False,May-September,The legendary Incan citadel floating above the clouds in the Andes — a UNESCO World Heritage wonder.,-13.1631,-72.545,W216491
6,Reykjavik,Iceland,Europe,northern_lights adventure nature geothermal,2500,4.6,subarctic,True,September-March,"Gateway to Iceland's surreal landscapes — geysers, black sand beaches, and the Aurora Borealis.",64.147,-21.9426,W104920
7,Safari Kenya,Kenya,Africa,wildlife safari nature photography,3500,4.9,tropical,False,July-October,Witness the Great Wildebeest Migration across the Masai Mara — nature's greatest spectacle.,-1.5061,35.1432,W207825
8,Amalfi Coast,Italy,Europe,romance scenic luxury coastal,2800,4.7,mediterranean,True,May-September,A UNESCO coastline of dazzling villages perched on dramatic cliffs above the turquoise Tyrrhenian Sea.,40.634,14.6027,W217148
9,Queenstown,New Zealand,Oceania,adventure bungee skiing extreme_sports,2200,4.7,temperate,True,June-August,"The adventure capital of the world — bungee jumping, skydiving, and skiing against stunning alpine backdrops.",-45.0312,168.6626,W184473
10,Marrakech,Morocco,Africa,culture souks history budget,900,4.6,arid,True,March-May,"A sensory feast of winding medina alleys, vibrant souks, aromatic spices, and ornate palaces.",31.6295,-7.9811,W205518
11,Maldives,Maldives,Asia,beach luxury diving wellness,4500,4.9,tropical,True,November-April,Crystal-clear turquoise lagoons and pristine coral reefs in the ultimate barefoot-luxury paradise.,3.2028,73.2207,W188609
12,Prague,Czech Republic,Europe,culture history architecture budget,800,4.7,temperate,True,May-September,"A fairy-tale city of Gothic spires, Baroque palaces, and cobblestone streets spanning the Vltava River.",50.0755,14.4378,W111899
13,Banff,Canada,North America,nature skiing hiking mountain,1800,4.8,cold,True,June-August,Turquoise glacial lakes and soaring Rocky Mountain peaks in Canada's oldest national park.,51.4968,-115.9281,W29462
14,Dubrovnik,Croatia,Europe,coastal history romance island_hopping,2000,4.7,mediterranean,True,May-September,The Pearl of the Adriatic — a perfectly preserved medieval walled city on the Dalmatian Coast.,42.6507,18.0944,W184476
15,Tokyo,Japan,Asia,culture food technology urban,2500,4.8,temperate,True,March-May,A relentless electrifying megacity where ancient shrines and neon-lit streets coexist in harmony.,35.6762,139.6503,W208617
16,Petra,Jordan,Asia,history ancient adventure desert,1200,4.8,arid,False,March-May,The legendary Rose City — a 2000-year-old Nabataean marvel carved directly into rose-red sandstone cliffs.,30.3285,35.4444,W207940
17,Cape Town,South Africa,Africa,nature culture wine coastal,1500,4.7,mediterranean,True,November-March,"Where two oceans meet — Table Mountain, the Cape Winelands, and the vibrant V&A Waterfront.",-33.9249,18.4241,W223263
18,Phuket,Thailand,Asia,beach budget nightlife diving,700,4.5,tropical,True,November-April,"Thailand's largest island — stunning Andaman beaches, emerald sea, and legendary Thai street food.",7.8804,98.3923,W194804
19,Amsterdam,Netherlands,Europe,culture canals art cycling,1800,4.6,temperate,True,April-October,"A city of masterpiece museums, charming canal houses, and a liberal vibrant arts scene.",52.3676,4.9041,W127497
20,Havana,Cuba,Caribbean,culture music history colonial,1000,4.6,tropical,False,December-April,"A living time capsule of vintage Cadillacs, crumbling colonial grandeur, and irresistible salsa rhythms.",23.1136,-82.3666,W189518
21,Swiss Alps,Switzerland,Europe,skiing mountain hiking luxury,4000,4.9,cold,True,December-March,Pristine ski slopes and dramatic alpine scenery in the heart of Swiss skiing culture.,46.8182,8.2275,W158185
22,Angkor Wat,Cambodia,Asia,history temples culture ancient,600,4.8,tropical,False,November-February,The world's largest religious monument — a breathtaking 12th-century Khmer empire temple complex.,13.4125,103.867,W187484
23,Barcelona,Spain,Europe,culture architecture beach food,1800,4.7,mediterranean,True,May-October,"Gaudi's organic masterpieces, La Rambla's buzz, and the sun-drenched Barceloneta beach in one city.",41.3851,2.1734,W126874
24,Rio de Janeiro,Brazil,South America,beach carnival culture urban,1200,4.6,tropical,True,December-February,"The Marvelous City — Copacabana, Christ the Redeemer, and the world's greatest Carnival.",-22.9068,-43.1729,W214396
25,Zanzibar,Tanzania,Africa,beach culture diving history,1000,4.7,tropical,False,June-October,"A spice island paradise blending white-sand beaches, turquoise Indian Ocean waters, and Swahili culture.",-6.1659,39.2026,W218749
26,Lisbon,Portugal,Europe,culture food coastal budget,1000,4.7,mediterranean,True,April-October,"Seven hilly neighborhoods of colorful azulejo tiles, vintage trams, and the melancholic sound of Fado.",38.7223,-9.1393,W128285
27,Galapagos Islands,Ecuador,South America,wildlife nature diving adventure,4000,4.9,tropical,False,June-December,"A living museum of extraordinary wildlife — giant tortoises, marine iguanas, and Darwin's finches.",-0.9538,-90.9656,W211853
28,Istanbul,Turkey,Asia,culture history food bridge,900,4.7,mediterranean,True,April-June,"Where East meets West — Hagia Sophia, the Grand Bazaar, and the shimmering Bosphorus Strait.",41.0082,28.9784,W172085
